Name;RA_deg;Dec_deg;MajAx_arcmin;Mag;Notes
Abell 2;11.97;56.68;1.7;14.4;
Abell 3;15.6;-4.53;0.8;99;
Abell 4;22.37;42.63;0.6;99;
Abell 5;25.25;-9.77;0.7;99;
Abell 6;28.08;47.83;1.6;99;
Abell 7;47.25;-13.57;6.6;13.6;
Abell 8;50.35;16.57;0.8;99;
Abell 9;53.1;33.22;0.5;99;
Abell 10;55.88;7.33;0.7;99;
Abell 11;58.62;-7.55;0.6;99;
Abell 12;86.32;8.93;0.5;99;
Abell 13;104.85;-23.43;0.9;99;
Abell 14;111.58;24.68;0.6;99;
Abell 15;116.4;30.03;0.5;99;
Abell 16;120.32;27.48;1.8;99;
Abell 17;126.6;-7.07;0.6;99;
Abell 18;131.65;4.47;0.7;99;
Abell 19;138.42;20.05;0.7;99;
Abell 20;143.75;-1.92;0.7;99;
Abell 21;112.52;13.57;8.0;15.9;Medusa Neb
Abell 22;159.72;-10.13;0.9;99;
Abell 23;162.98;-12.55;1.1;99;
Abell 24;116.88;2.77;8.1;99;
Abell 25;173.22;-11.45;0.8;99;
Abell 26;178.45;-10.58;0.7;99;
Abell 27;180.72;5.93;0.6;99;
Abell 28;140.95;43.32;6.6;15.2;
Abell 29;188.22;-12.08;0.6;99;
Abell 30;133.95;17.88;1.7;14.8;
Abell 31;121.72;8.9;16.0;15.9;
Abell 33;154.95;-2.8;4.5;15.6;
Abell 34;180.7;4.15;3.5;99;
Abell 35;192.48;-22.28;8.0;14.8;
Abell 36;178.52;-19.87;8.0;15.0;
Abell 37;194.27;-2.83;1.3;99;
Abell 38;198.65;37.48;0.9;99;
Abell 39;247.88;27.9;2.7;16.3;
Abell 40;253.8;19.92;0.5;99;
Abell 41;244.35;9.98;0.6;99;
Abell 42;255.08;1.73;0.7;99;
Abell 43;271.0;10.4;1.1;16.4;
Abell 44;278.72;18.27;0.5;99;
Abell 45;283.62;13.07;1.0;99;
Abell 46;280.93;16.9;1.0;16.5;
Abell 47;289.5;11.83;0.7;99;
Abell 48;287.68;2.08;0.8;99;
Abell 49;288.22;10.88;0.9;99;
Abell 50;290.65;3.12;0.5;99;
Abell 51;292.35;4.02;0.6;99;
Abell 52;293.62;-1.38;0.7;99;
Abell 53;294.88;6.57;0.6;99;
Abell 54;296.15;1.13;0.9;99;
Abell 55;297.42;-2.32;0.7;99;
Abell 56;298.68;6.92;0.8;99;
Abell 57;299.95;0.47;0.5;99;
Abell 58;300.0;-1.72;0.3;99;
Abell 59;302.47;-0.55;1.0;99;
Abell 60;303.73;5.18;0.8;99;
Abell 61;307.87;19.02;1.6;15.9;
Abell 62;310.42;1.32;2.8;99;
Abell 63;313.65;22.02;1.0;15.5;
Abell 64;316.88;-2.57;0.5;99;
Abell 65;303.13;-23.17;1.4;99;
Abell 66;324.45;-21.63;1.2;99;
Abell 67;329.18;17.35;0.5;99;
Abell 68;330.45;-10.32;0.6;99;
Abell 69;335.72;23.63;1.0;99;
Abell 70;295.02;-7.18;0.7;99;
Abell 71;308.33;47.78;1.5;99;
Abell 72;313.38;13.75;2.0;15.8;
Abell 73;319.62;48.87;1.6;99;
Abell 74;344.35;30.37;15.0;99;
Abell 75;348.62;47.02;0.5;99;
Abell 76;356.17;23.73;1.2;99;
Abell 77;357.43;54.02;1.4;99;
Abell 78;351.95;35.55;1.3;14.5;
Abell 79;5.65;55.73;1.1;99;
Abell 80;8.1;57.82;0.8;99;
Abell 81;355.88;59.18;0.9;99;
Abell 82;358.75;58.93;0.7;99;
Abell 83;356.33;56.27;0.6;99;
Abell 84;7.33;52.42;0.8;99;
Abell 85;23.9;67.28;3.0;99;CTB1 SNR area
Abell 86;26.05;64.87;0.5;99;
