Name;RA_deg;Dec_deg;MajAx_arcmin;Mag;Notes
Collinder 1;0.55;85.17;90;5.0;
Collinder 2;5.42;83.13;60;6.0;
Collinder 3;7.93;80.07;40;7.0;
Collinder 4;8.37;63.97;25;7.5;
Collinder 5;10.45;60.88;12;8.0;
Collinder 6;12.9;60.1;15;7.8;
Collinder 7;14.82;57.73;8;8.2;
Collinder 8;18.52;59.73;5;8.5;
Collinder 9;21.15;57.28;10;7.9;
Collinder 10;23.8;56.73;8;8.1;
Collinder 11;26.0;60.48;10;7.5;
Collinder 12;28.33;63.15;8;8.0;
Collinder 13;30.18;59.55;5;8.3;
Collinder 14;32.78;56.88;5;8.2;
Collinder 15;34.5;57.87;10;7.7;
Collinder 16;36.02;61.33;5;8.0;
Collinder 17;37.78;64.0;5;8.1;
Collinder 18;39.55;57.25;5;8.5;
Collinder 19;41.6;58.1;5;8.0;
Collinder 20;42.87;63.72;5;8.3;
Collinder 21;46.2;55.78;8;7.9;
Collinder 22;48.4;60.22;5;8.4;
Collinder 23;49.68;63.1;5;8.0;
Collinder 24;50.95;56.15;10;7.5;
Collinder 25;53.12;62.45;5;8.2;
Collinder 26;55.28;58.32;5;8.6;
Collinder 27;56.52;63.78;5;8.1;
Collinder 28;57.78;57.98;8;7.8;
Collinder 29;59.05;62.33;5;8.3;
Collinder 30;60.32;56.65;5;8.0;
Collinder 31;61.58;60.98;5;8.4;
Collinder 32;62.85;55.33;5;8.2;
Collinder 33;64.12;59.63;5;8.5;
Collinder 34;65.38;54.0;5;8.1;
Collinder 35;66.65;58.28;5;8.3;
Collinder 36;67.92;52.67;5;8.0;
Collinder 37;69.18;56.93;5;8.4;
Collinder 38;70.45;51.33;5;8.2;
Collinder 39;71.72;55.58;5;8.6;
Collinder 40;72.98;50.0;5;8.1;
Collinder 41;74.25;54.23;5;8.3;
Collinder 42;75.52;48.67;5;8.0;
Collinder 43;76.78;52.88;5;8.4;
Collinder 44;78.05;47.33;5;8.2;
Collinder 45;79.32;51.53;5;8.5;
Collinder 46;80.58;46.0;5;8.1;
Collinder 47;81.85;50.18;5;8.3;
Collinder 48;83.12;44.67;5;8.0;
Collinder 49;84.38;48.83;5;8.4;
Collinder 50;85.65;43.33;5;8.2;
Collinder 51;81.28;49.28;60;2.1;Hyades core
Collinder 52;88.18;41.98;5;8.5;
Collinder 53;89.45;46.13;5;8.1;
Collinder 54;90.72;40.65;5;8.3;
Collinder 55;91.98;44.78;5;8.0;
Collinder 56;93.25;39.32;5;8.4;
Collinder 57;94.52;43.43;5;8.2;
Collinder 58;95.78;37.98;5;8.5;
Collinder 59;97.05;42.08;5;8.1;
